id,name,COUNTYFPS,Percent Federal Lands,Percent Wilderness,Percent USFS Lands,Percent NPS Lands,Percent USFWS Lands,Percent BLM Lands,Percent Native Lands
29,Aleutians West,f016,34.2,10.1,0,0,34.2,0,12.6
12,Anchorage,f020,30.8,2.5,22.9,0,0.1,2.4,5.5
2,Bethel,f050,58.7,6.6,0,1.8,42.9,14,13
7,Bristol Bay,f060,27,6.9,0,12.3,0.6,14.2,30.3
14,Denali,f068,59,25.2,0,51.7,0,6.9,1.5
4,Dillingham,f070,26.5,10.6,0,0,19.6,6.8,10.4
22,Fairbanks North Star,f090,18.8,0,0,0.1,0,6,0.6
26,Haines,f100,57.6,7.2,40.2,1.1,0,16.3,0.3
25,Hoonah-Angoon,f105,88.2,69.9,44.9,43.1,0,0.1,2
27,Juneau,f110,86.3,2.7,86.3,0,0,0,0.1
10,Kenai Peninsula,f122,,,,,,,
19,Ketchikan Gateway,f130,87.5,67.3,87.5,0,0,0,0.8
9,Kodiak Island,f150,54.2,16.6,0,15,38.9,0.3,15.5
3,Kusilvak,f158,80.7,12,0,0,72.8,7.9,15.8
8,Lake and Peninsula,f164,,,,,,,
11,Matanuska-Susitna,f170,26.2,0.7,0.3,10.5,0,15.4,2.6
5,Nome,f180,55.4,1.4,0,10.2,2,43.1,17.5
13,North Slope,f185,73.3,16.7,0,7.1,20.8,45.4,8.2
6,Northwest Arctic,f188,75.8,25.5,0,43.7,11.6,20.5,6.8
16,Petersburg,f195,81.2,14.9,81.2,0,0,0,1.8
17,Prince of Wales-Hyder,f198,62.9,4.5,62.9,0,0,0,8.5
24,Sitka,f220,78.9,21.4,78.9,0,0,0,0.5
28,Skagway,f230,59.8,0,24.6,1.1,0,34,0
23,Southeast Fairbanks,f240,36.1,0.5,0,12.8,3.8,19.4,12.6
20,Valdez-Cordova,f261,72.5,37.5,16.4,43.4,0.6,12.1,5.3
18,Wrangell,f275,85.6,17.1,85.5,0,0,0.1,0.1
21,Yakutat,f282,82.7,52.4,22.7,48.7,0,11.3,1.4
15,Yukon-Koyukuk,f290,62.9,7.1,0,5.3,30.2,27.3,11.6
1,Aleutians East,f013,48.3,23.3,0,0,47.8,0.4,9.2
